objectID,index,System Name,bearing,xd_seg_id,NumberofSignals
0,0,Laburnum Ave_New Market Rd_To_Route 1_North,N,441066708;1310564497;1310543785;1310526637;449114728;449114718;449114729;449114719;1310563775;1310410006;1310322933;1310453679;1310592900;463905925;441067364;449107776;1310577270;449107777;441065612;1310526672;463909192;449110892;1310469088;441067868;449114665;449114676;1310400065;1310615137;441065616;1310528502;1310615138,23
1,1,Laburnum Ave_Route 1_To_New Market Rd_South,S,449114726;1310237049;449114716;449114727;449114717;1310354454;449102509;1310342455;1310564754;1310342445;1310354479;1310322943;1310354227;1310282003;1310354517;1310291058;463910435;441067363;449107783;449114693;1310615396;449102510;1310615399;449114677;441065615;449114678;1310354492;1310343041;463908370;441065617;1310412266,23
2,2,Parham Rd_River Rd_To_Chamberlayne Rd_East,E,448988908;449122228;429123898;449122229;1310578226;1310574113;1310449935;1310433579;449132649;1310225966;1310225934;1310225978;1310421305;1310293685;449119081;1310394524;1310270279;449119040;388857795;449119013;1310349180;449119014;449119015;449105551;441066433;441066951;449119039;449122230;449122142;449148575;441067833;449148576;449148577;134765729;449148578;429100881;1310226220;1310610353;448988905;441067827;449122148;449122149;429123897,27
3,3,Parham Rd_Chamberlayne Rd_To_River Rd_West,W,429100875;1310227579;1310440782;1310287387;1310454359;1310266821;441083919;1310394500;1310287636;449119033;449119034;449119024;449119035;449119025;449119036;449119026;1310283819;441067028;441067029;449122220;449122154;449119009;441066954;449122221;449102531;449122155;1310421270;1310421281;449102532;441066438;429100880;449102533;449102534;449148635;449102535;449148636;429100872;448988906;1310478475;448988907;1310526645;441067829,27
4,4,Nuckols Rd_Springfield Rd_To_Edgeware Ln_West,W,1310472274;1310432852;1310580136;1310383886;449122162;449122163;449122164;388798989;449122165;1310453081;449122166;1310453094;449148625;1310384040;449148626;1310303597,9
5,5,Nuckols Rd_Edgeware Ln_To_Springfield Rd_East,E,388799085;1310382886;449118971;1310529485;1310529497;1310529432;441048517;1310529510;449148622;1310529533;449122167;441048519;449148623;449122168;388798927;449132663;449148624;1310529546;449132664;1310529229;1310378397,9
6,6,Gaskins Rd_Springfield Rd_To_River Rd_North,N,1310603910;429100856;1310319729;429100847;1310262443;429100849;1310262512;1310262469;441066071;441050461;449119005;449119006;449118934;449118935;449118936;429123785;429100851;1310557049,8
7,7,Gaskins Rd_River Rd_To_Springfield Rd_South,S,1310554542;429100857;429100848;441050460;441050462;1310602085;449119007;429129554;449119008;441071376;1310567340;1310567055;429123784;429100850;1310567179;449118937;449118938;429100852,8
8,8,Hungary Rd_Springfield Rd_To_Woodman Rd_East,E,1310348934;1310387602;1310372128;1310372118;441066673;449122156;1310457055;441073875;1310307206;1310335487,4
9,9,Hungary Rd_Woodman Rd_To_Springfield Rd_West,W,1310311706;441068243;1310307196;1310506881;1310506871;1310307147;449122157;441073876;1310335474;1310311693,4
