xd,road-name,road-num,bearing,miles,frc,county,state,zip,timezone_name,start_latitude,start_longitude,end_latitude,end_longitude
449119078,W BROAD ST,250,W,0.360728913717696,4,HENRICO,VA,23294,America/New_York,37.63651,-77.54987,37.63887,-77.55575
449119077,W BROAD ST,250,W,0.21551948600421,4,HENRICO,VA,23294,America/New_York,37.61971,-77.5242,37.62219,-77.52657
429129559,COPPERMILL TRCE,,N,0.009991867980496,5,HENRICO,VA,23294,America/New_York,37.63874,-77.55583,37.63887,-77.55575
388663038,VIRGINIA CENTER PKWY,,E,0.052419319780878,5,HENRICO,VA,23059,America/New_York,37.66586,-77.46273,37.66596,-77.46178
449119079,W BROAD ST,250,W,0.29036853660085,4,HENRICO,VA,23294,America/New_York,37.63887,-77.55575,37.64076,-77.56049
132538395,WILMER AVE,,E,0.183936631889073,5,HENRICO,VA,23227,America/New_York,37.6053,-77.45332,37.60571,-77.45
429129556,STILLMAN PKWY,,S,0.010243247595056,5,HENRICO,VA,23233,America/New_York,37.64247,-77.56463,37.64234,-77.56472
1310225922,E NINE MILE RD,33,W,0.734928351674595,4,HENRICO,VA,23075,America/New_York,37.53753,-77.31958,37.54601,-77.32765
429129555,STILLMAN PKWY,,N,0.010243247595056,5,HENRICO,VA,23233,America/New_York,37.64234,-77.56472,37.64247,-77.56463
131889151,MAIN BLVD,,E,0.106314092739417,5,HENRICO,VA,23059,America/New_York,37.66421,-77.46721,37.66467,-77.46568
131971233,CLARKE ST,,E,0.112770820521117,5,HENRICO,VA,23228,America/New_York,37.60454,-77.47361,37.60438,-77.47156
131971234,CLARKE ST,,E,0.164378374864764,5,HENRICO,VA,23228,America/New_York,37.60476,-77.4766,37.60454,-77.47361
132513091,GRAND OAKS DR,,W,0.041190218093012,5,HENRICO,VA,23233,America/New_York,37.62968,-77.57182,37.63004,-77.57242
135153354,IMPALA DR,,N,0.06907902421544,5,HENRICO,VA,23228,America/New_York,37.60797,-77.48687,37.60873,-77.48769
429129554,GASKINS RD,,S,0.241406876432349,4,HENRICO,VA,23233,America/New_York,37.64397,-77.56879,37.64084,-77.57075
1310589892,I-295 N,295,N,0.450748526897947,1,HENRICO,VA,23060,America/New_York,37.67535197329,-77.56745729344,37.672969917962,-77.57513025908
1310234873,,,S,0.073986217304904,4,HENRICO,VA,23233,America/New_York,37.65367,-77.62202,37.65274,-77.62157
132792373,S MOORELAND RD,,E,0.125975888715784,5,HENRICO,VA,23229,America/New_York,37.57272,-77.59415,37.57406,-77.59259
1310257510,CREIGHTON RD,,E,0.615709417794569,4,HENRICO,VA,23223,America/New_York,37.5748779295,-77.340834141219,37.57891,-77.33117
134869016,SADLER PL,,N,0.060248719112767,5,HENRICO,VA,23060,America/New_York,37.66512,-77.57658,37.66584,-77.57715
